name,type,url,requiresLogin,checkFrequency,snapshotPolicy,parserProfile,owner,lastCheckedAt,policyType,effectiveDate
Google Merchant Center - Product data specification,html,https://support.google.com/merchants/answer/7052112,no,weekly,html+pdf,gmc_support_attr_v1,ops,,guideline,
Amazon SP-API - Product Type Definitions,html,https://developer-docs.amazon.com/sp-api/docs/product-type-definitions-api-v2020-09-01-use-case-guide,no,weekly,html,amazon_ptd_v1,ops,,guideline,
Shopify - Product CSV,html,https://help.shopify.com/en/manual/products/import-export/using-csv-file,no,weekly,html,shopify_csv_v1,ops,,guideline,
Rakuten RMS - API Portal,html,https://api.rms.rakuten.co.jp/,no,weekly,html,rakuten_portal_v1,ops,,guideline,
Yahoo Shopping - Developer,html,https://developer.yahoo.co.jp/webapi/shopping/,no,weekly,html,yahoo_dev_v1,ops,,guideline,
Mirakl - Developers,html,https://www.mirakl.com/developers,no,weekly,html,mirakl_dev_v1,ops,,guideline,
Mercari Shops - Help,html,https://mercarishops.zendesk.com/hc/ja,no,weekly,html,mercari_help_v1,ops,,guideline,
Yodobashi Vendor Spec (Excel),xlsx,https://example.com/yodobashi/spec.xlsx,yes,weekly,xlsx,yodobashi_excel_v1,ops,,spec,
Alpen Vendor Spec (Excel),xlsx,https://example.com/alpen/spec.xlsx,yes,weekly,xlsx,alpen_excel_v1,ops,,spec,
Murasaki Sports Vendor Spec (Excel),xlsx,https://example.com/murasaki/spec.xlsx,yes,weekly,xlsx,murasaki_excel_v1,ops,,spec,
QVC Japan Vendor Portal,html,https://example.com/qvc/vendor,yes,weekly,html,qvc_vendor_v1,ops,,guideline,
